[28-Jul-2022 21:38:50 UTC] PHP Warning:  unlink(новость3.html): No such file or directory in /Users/agaly/Desktop/news/index.php on line 27
[28-Jul-2022 21:47:13 UTC] PHP Warning:  scandir(page/): failed to open dir: No such file or directory in /Users/agaly/Desktop/news/index.php on line 22
[28-Jul-2022 21:47:13 UTC] PHP Warning:  scandir(): (errno 2): No such file or directory in /Users/agaly/Desktop/news/index.php on line 22
[28-Jul-2022 21:47:13 UTC] PHP Warning:  rename(новость1.html,новость2.html): No such file or directory in /Users/agaly/Desktop/news/index.php on line 28
[28-Jul-2022 21:47:13 UTC] PHP Notice:  Trying to access array offset on value of type bool in /Users/agaly/Desktop/news/index.php on line 29
[28-Jul-2022 21:47:13 UTC] PHP Warning:  rename(page/,./новость3.html): No such file or directory in /Users/agaly/Desktop/news/index.php on line 29
[28-Jul-2022 22:13:30 UTC] PHP Fatal error:  Uncaught TypeError: Argument 2 passed to PHPHtmlParser\Dom::loadStr() must be an instance of PHPHtmlParser\Options or null, bool given, called in /Users/agaly/Desktop/news/index.php on line 30 and defined in /Users/agaly/Desktop/news/vendor/paquettg/php-html-parser/src/PHPHtmlParser/Dom.php:145
Stack trace:
#0 /Users/agaly/Desktop/news/index.php(30): PHPHtmlParser\Dom->loadStr('<!doctype html>...', true)
#1 {main}
  thrown in /Users/agaly/Desktop/news/vendor/paquettg/php-html-parser/src/PHPHtmlParser/Dom.php on line 145
[28-Jul-2022 22:21:46 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 29
[28-Jul-2022 22:23:14 UTC] PHP Warning:  rename(новость1.html,новость2.html): No such file or directory in /Users/agaly/Desktop/news/index.php on line 28
[28-Jul-2022 22:30:45 UTC] PHP Notice:  Undefined offset: 2 in /Users/agaly/Desktop/news/index.php on line 29
[28-Jul-2022 22:34:21 UTC] PHP Warning:  rename(новость2.html,новость3.html): No such file or directory in /Users/agaly/Desktop/news/index.php on line 27
[28-Jul-2022 22:43:24 UTC] PHP Warning:  DOMDocument::loadHTMLFile(): Tag svg invalid in новости.html, line: 96 in /Users/agaly/Desktop/news/index.php on line 32
[28-Jul-2022 22:43:24 UTC] PHP Warning:  DOMDocument::loadHTMLFile(): Tag header invalid in новости.html, line: 97 in /Users/agaly/Desktop/news/index.php on line 32
[28-Jul-2022 22:43:24 UTC] PHP Warning:  DOMDocument::loadHTMLFile(): Tag main invalid in новости.html, line: 103 in /Users/agaly/Desktop/news/index.php on line 32
[28-Jul-2022 22:43:24 UTC] PHP Warning:  DOMDocument::loadHTMLFile(): Opening and ending tag mismatch: main and div in новости.html, line: 311 in /Users/agaly/Desktop/news/index.php on line 32
[28-Jul-2022 22:43:24 UTC] PHP Warning:  DOMDocument::loadHTMLFile(): Tag footer invalid in новости.html, line: 312 in /Users/agaly/Desktop/news/index.php on line 32
